,cumulative_return,sharpe_ratio,max_drawdown,beats_random_%
Full (debate) BTC/USDT,2.0214985742470017,1.7107474747301956,-0.21592835603446764,76.5
Minimal (1 analyst) BTC/USDT,1.9971344138119722,1.6477130333956098,-0.22085224679944462,66.0
Full (debate) ETH/USDT,0.8309308380438745,0.8771995364954024,-0.36183609743783707,73.5
Minimal (1 analyst) ETH/USDT,0.8182724879860179,0.8667835992798355,-0.37943813764179346,73.5
Full (debate) SOL/USDT,4.0292227318611635,1.497092592863458,-0.36194365596067035,56.00000000000001
Minimal (1 analyst) SOL/USDT,5.614399613766304,1.6015132501424545,-0.34858291261077107,70.0
Full (debate) BNB/USDT,1.0047253759414065,1.089514115928255,-0.22683544497876593,74.0
Minimal (1 analyst) BNB/USDT,0.6402145849591732,0.7742389223417766,-0.3185354071092123,35.5
